"","x"
"Baseline_F_0 - Baseline_F_96",0
"Baseline_F_0 - Baseline_G_0",0
"Baseline_F_96 - Baseline_G_0",0
"Baseline_F_96 - Baseline_G_96",0
"Baseline_G_0 - Baseline_G_96",0
"Baseline_H_0 - Baseline_H_96",0
"Baseline_H_0 - Baseline_I_96",0
"Baseline_I_0 - Baseline_I_96",0
"Baseline_H_0 - Baseline_I_0",1
"Baseline_H_96 - Baseline_I_0",1
"Baseline_H_96 - Baseline_I_96",1
"Baseline_F_0 - Baseline_I_0",2
"Baseline_F_96 - Baseline_I_0",2
