"","x"
"VCAN",-68
"LTBP2",-67
"SKI",-57
"FBN1",-54
"MMP2",-51
"SKIL",-48
"CDKN2B",-47
"FBLN1",-46
"ID1",-46
"PMEPA1",-38
"RARA",-34
"SMAD7",-33
"GADD45B",-32
"PPP3CA",-32
"ITGA1",-31
"JUNB",-29
"MMP14",-26
"BHLHE40",-25
"SERPINE2",-24
"THBS2",-23
"TP53BP1",-23
"NOX4",-22
"COL1A2",-20
"ADAMTS1",-17
"PSMD14",-6
"CDKN2A",-5
"ENG",-4
"TGFBR2",-4
"TGFB1",-2
"DCN",-1
"B2M",1
"GUSB",2
"HAS2",2
"RARG",9
"SMAD3",9
"TIMP1",12
"MMP1",16
"CAV1",26
"VIM",34
