,Sample,cell_id,replicate,treatment,time_point,Treatment Start Date,sub_experiment,Filename,cell_line,ACTA2,ADAMTS1,ATP6AP1,B2M,BGN,BHLHE40,CAV1,CDKN2A,CDKN2B,COL1A1,COL1A2,COL4A1,COL5A1,CTGF,DCN,EGR2,ELN,ENG,ETS1,FBLN1,FBN1,FGF2,FN1,FOSB,GADD45B,GUSB,HAS2,ID1,IL1A,IL1B,IL6,ITGA1,ITGA2,JUN,JUNB,LARP6,LOXL1,LOXL2,LTBP2,MMP1,MMP13,MMP14,MMP2,NOX4,PDGFA,PMEPA1,PPIA,PPP3CA,PSMD14,PTEN,RARA,RARG,RHOB,SERPINE1,SERPINE2,SKI,SKIL,SMAD3,SMAD7,SPARC,TGFB1,TGFBR1,TGFBR2,THBS1,THBS2,TIMP1,TIMP3,TP53BP1,VCAN,VEGFA,VIM
Ct,Baseline_0_B_5,B,5,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p14.txt,HDFn,25.027,24.92051,24.8637,20.06239,23.46565,28.43374,20.99337,27.57852,32.10512,20.78936,20.68663,26.44946,27.94644,25.37847,20.14779,32.77518,33.881,24.72698,26.276,20.37988,23.14675,26.55943,18.32414,,28.15687,26.62186,29.85807,28.39464,,,28.37129,28.9758,26.3265,24.01112,26.88673,25.4728,23.52218,26.68464,24.6391,23.79135,30.00531,22.46806,21.21577,30.11518,31.87935,30.55822,22.36889,25.11209,26.81757,25.38209,28.60933,25.63804,25.08926,23.51213,23.07686,24.77321,26.24417,24.82554,28.7455,21.57299,25.52243,27.15461,24.46431,20.75155,22.82743,19.79547,25.5115,24.51167,23.14268,27.49747,17.71656
Ct,Baseline_0_B_6,B,6,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p17.txt,HDFn,24.42231,23.56889,24.2432,20.0714,23.51738,27.89573,20.8729,26.35112,31.65446,20.5398,20.12012,26.80123,27.31068,26.88751,19.66278,,31.13403,24.59885,26.25473,20.28843,22.93212,26.25817,18.49857,,27.79611,26.57771,28.58485,27.81365,,,29.22962,28.03187,26.74016,24.46576,26.56911,25.1915,23.45882,26.37175,24.60195,23.5118,29.82659,22.55182,21.05145,28.50465,31.37628,29.41506,22.06302,24.75854,26.53972,24.90799,28.50439,25.26867,25.24992,23.26652,22.83644,24.67835,26.56979,24.7851,28.54022,21.34842,25.16969,26.62022,23.72889,20.43371,23.28831,19.85869,24.91047,24.59245,22.49196,27.43758,17.27577
Ct,Baseline_0_C_1,C,1,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p3.txt,HDFn,25.08366,24.10135,24.93269,20.50271,23.43626,29.23615,20.84892,26.84664,31.85858,20.55463,20.23553,26.56605,27.03262,25.94048,20.99808,,30.17924,25.05831,26.60094,20.46585,23.18562,26.66518,17.89159,,28.3923,26.75083,28.27335,28.81299,,30.71254,28.43065,27.59937,27.04886,24.00961,28.002,25.37084,23.19048,26.64835,24.88299,26.14904,28.96173,22.93509,21.05267,28.51036,30.62702,29.27151,22.3938,25.15751,26.91797,25.07365,28.51117,25.145,24.7694,23.69523,23.07449,24.73864,27.29494,24.7493,28.34419,21.46769,25.14598,27.2002,24.37111,21.45556,23.156,20.11741,24.17283,24.98238,23.53258,27.54593,17.80837
Ct,Baseline_0_C_2,C,2,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p4.txt,HDFn,25.8347,23.98668,24.33834,20.56487,23.78678,30.24072,21.17543,26.69823,,20.74503,20.09335,26.21285,26.44435,25.87442,21.20054,,28.86384,24.67924,26.70112,20.47185,22.89321,26.45448,17.93856,,27.60153,26.93398,28.21777,28.49442,,,28.76089,28.9536,27.11175,24.52456,27.53306,24.9611,23.11295,26.38826,24.80757,26.39389,30.0032,23.04158,21.62038,27.85478,30.26075,29.86395,22.36313,25.30765,26.79149,25.34896,27.89945,25.33269,24.89621,23.34512,22.89049,24.93502,26.43506,24.88761,28.45862,21.80508,25.06361,26.47123,24.04395,21.62319,23.16314,20.4603,23.81983,24.73828,24.22007,27.41003,17.77048
Ct,Baseline_0_C_3,C,3,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p9.txt,HDFn,25.00006,23.87416,24.99722,20.66238,23.70728,29.02171,21.5217,26.70952,29.22116,20.50884,20.10472,26.38551,25.94931,27.04582,21.18997,,30.23925,24.77099,27.10627,20.55728,23.00837,26.35472,18.03249,,27.32956,26.77969,28.88367,28.10303,,,30.00142,29.49203,26.30415,24.38014,27.10817,25.15731,23.04785,26.67435,24.59612,26.07797,29.78969,23.03911,21.71801,28.18585,30.11555,29.2668,22.55676,25.71839,27.28873,25.45806,27.56854,25.17235,24.95031,23.82249,23.10608,24.92912,27.20768,25.03501,29.77773,21.78214,24.96665,27.53091,24.34394,21.38095,23.33792,20.43548,24.06127,25.23635,23.99787,28.00402,17.99385
Ct,Baseline_0_C_4,C,4,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p10.txt,HDFn,25.57853,24.31816,25.24706,20.85003,23.89585,29.68167,21.51269,27.01609,29.26222,20.65649,20.22622,27.30551,25.67535,26.42406,21.43606,32.08883,29.45807,24.97361,26.87827,20.5438,23.09612,26.91602,17.89048,33.30683,27.63086,27.00578,29.02451,28.24229,,,28.7057,28.76634,26.76582,24.76888,27.22646,25.56114,23.00853,26.31335,24.48452,26.69238,29.88667,23.30221,21.71187,28.32311,30.676,29.7258,22.72819,25.60764,27.59597,25.3884,27.78449,25.69097,24.97289,23.90239,23.27422,25.05009,27.25966,24.91375,29.93085,22.2042,25.15909,27.89865,24.26942,21.89661,23.31401,20.72758,24.38495,25.94459,24.26582,27.92887,18.20841
Ct,Baseline_0_C_5,C,5,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p15.txt,HDFn,25.1165,24.11301,24.66107,20.2218,23.51048,29.14134,21.0854,26.76119,32.06871,20.87435,19.89948,27.01108,27.61339,25.95803,20.03455,,30.99699,24.59451,26.63251,20.23697,22.77599,26.35303,17.8874,,27.26098,26.78291,28.02904,28.00418,,,29.05971,29.53773,26.25954,24.58515,28.32832,25.39781,23.43601,27.20979,24.83997,26.16101,31.72551,22.56221,21.19375,29.97854,30.48115,29.71057,22.23792,24.79418,26.8391,24.59324,28.57062,25.18938,24.78514,23.72333,22.81013,24.66346,26.03871,25.04868,28.75919,21.40072,25.03854,27.14295,23.85434,21.13646,23.19876,19.94956,24.24681,24.62085,23.40226,27.82742,17.21524
Ct,Baseline_0_C_6,C,6,Baseline,0.0,11-07-2017,3,GSS2375_WellData_p16.txt,HDFn,24.64492,23.76642,24.1342,20.24134,23.24103,29.70065,21.06073,26.79561,30.82676,20.46606,19.77185,26.00536,26.50166,26.24391,19.95389,,29.51284,24.19766,27.22954,20.3183,22.28488,25.98635,17.74756,,27.95898,26.32987,27.86831,27.55662,,,28.83044,28.45714,26.02464,23.96259,26.96074,25.00259,22.80428,26.66609,24.3674,26.11087,28.95419,22.37544,21.14345,29.1754,30.63014,28.03988,22.13991,24.6737,26.50969,24.64548,27.74685,24.92278,24.72942,23.3313,22.42309,24.2227,26.21218,24.37676,29.65494,21.30096,24.74446,26.77777,23.778,20.98128,23.01172,19.94705,23.43311,24.59298,23.28579,27.411,17.27765
Ct,Baseline_0_D_1,D,1,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p1.txt,SEN,24.62745,24.3941,24.49504,20.27569,23.86735,28.02409,21.36397,28.15598,28.92344,21.52956,20.49353,25.37202,26.36137,26.59695,22.07864,31.82779,,24.38657,27.46093,19.81879,23.34829,26.47365,18.67765,,26.67732,27.32023,32.23336,27.68773,,31.72467,28.90922,28.07042,24.81708,24.13084,26.19714,25.38368,24.15973,25.514,22.60976,22.88425,29.11661,22.12461,21.2338,29.08754,29.55418,29.30593,22.67322,25.99077,26.59191,26.07569,28.24379,26.33981,24.82761,22.4,22.24497,25.30366,27.1825,24.52785,30.53998,21.55781,24.5621,26.71516,24.07825,20.83962,23.08762,19.22919,22.06458,25.28479,24.8597,25.85652,18.34761
Ct,Baseline_0_D_2,D,2,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p6.txt,SEN,23.91195,24.51295,23.64838,19.9475,23.38488,27.65482,20.86659,26.29595,30.71567,21.31899,20.07059,24.91996,28.12561,26.43028,20.63441,29.94574,29.83795,24.33276,26.64308,19.42317,22.88128,25.93805,18.11474,,26.77475,26.62934,,27.39703,,30.22161,28.87503,27.52359,24.68932,23.61902,25.99832,24.91147,23.69016,25.6064,22.10221,22.12506,30.02751,21.11544,20.66119,27.71578,29.42185,27.51802,22.22443,24.84194,25.82625,25.24364,27.84904,25.18525,24.07682,22.03544,21.55328,24.60428,26.73917,24.00278,27.95676,20.90296,24.38259,26.21371,23.33936,20.14664,23.0605,18.4413,21.37712,24.14704,24.10142,25.44824,17.82777
Ct,Baseline_0_D_3,D,3,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p7.txt,SEN,24.62546,25.17696,24.22168,20.45079,23.97235,29.50907,21.48019,27.0895,30.90143,21.99133,20.65684,25.3849,29.16405,26.70965,20.42002,31.29481,,24.69909,26.39036,19.92155,23.36042,26.67034,18.98211,,27.43039,27.08032,,28.43456,31.22359,,28.42496,27.58876,25.08651,24.15034,26.79896,25.7244,24.31573,26.78262,22.93139,22.34137,29.12987,21.54709,21.20041,30.21607,30.1849,28.60152,22.70238,25.24434,26.49274,25.52944,28.19225,26.01377,24.28129,22.34219,21.77731,24.79756,26.85422,24.40511,28.89443,21.1615,25.15251,26.39651,23.59915,21.0091,23.5784,18.85242,22.03835,24.73093,24.34464,25.63769,18.54032
Ct,Baseline_0_D_4,D,4,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p12.txt,SEN,25.46591,25.62938,24.94671,20.51339,24.67109,29.17064,21.56214,28.82472,33.24765,22.54114,21.43152,25.75858,29.0046,28.30633,21.8391,31.16638,31.56838,24.87507,28.35827,20.37417,23.54371,26.27718,19.11518,,28.01264,27.31917,30.98122,28.43702,,,28.82676,28.38514,25.35673,24.42404,27.41072,26.27399,24.90347,26.54009,23.25461,22.92667,30.7905,22.03389,21.45336,30.61181,29.11009,29.14025,22.80062,26.07114,27.73776,26.37862,28.92507,26.50184,25.07358,23.00355,22.58333,25.33129,27.90113,25.02575,29.44757,21.59475,25.01406,26.49947,24.22527,21.24518,24.4969,19.42653,22.52766,25.03242,24.6938,26.45123,18.70173
Ct,Baseline_0_D_5,D,5,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p13.txt,SEN,24.87497,24.8299,24.04903,20.30235,24.30023,28.34051,21.47434,26.85834,30.91201,21.73159,20.91405,25.5752,28.18731,26.73939,21.72371,31.26796,,24.70039,27.36269,19.80997,23.24365,26.38838,18.73757,,27.24553,27.33001,,27.7891,,30.17951,29.26247,28.25466,25.06421,23.70393,27.19488,25.81318,24.32903,26.04555,22.71154,22.34164,29.77382,22.00361,20.94659,31.21504,29.10037,29.01389,22.51856,25.46941,26.01347,25.90603,28.15944,26.55731,24.78562,22.49272,21.8513,25.21546,26.8847,24.51792,28.92186,21.38801,24.95106,26.2294,24.07289,20.71354,23.62115,18.8838,21.96952,25.01512,24.28405,25.52341,18.17033
Ct,Baseline_0_D_6,D,6,Baseline,0.0,04-07-2017,1,GSS2375_WellData_p18.txt,SEN,24.31401,24.19484,23.82581,20.2266,23.80996,27.7682,20.87115,26.77603,31.0271,21.54844,20.38278,25.26808,28.19139,26.23397,20.56205,29.41052,32.5325,24.51961,26.88136,19.69294,23.08255,25.89081,18.70363,,27.25009,27.31414,32.30244,28.4005,,31.45016,29.10913,27.79288,25.18937,23.88356,26.60574,25.23158,24.26045,26.07119,22.5022,22.20128,31.3216,21.28347,20.55779,29.23598,28.40434,27.9835,22.26667,24.91593,26.14202,25.14226,28.42505,25.69279,24.23915,22.09413,21.12261,25.00575,26.69217,24.21345,28.10629,20.89161,24.31102,25.68588,23.49722,20.25391,23.52144,18.45981,21.71044,24.97652,24.30416,25.43597,17.85613
Ct,Baseline_0_E_1,E,1,Baseline,0.0,04-07-2017,2,GSS2375_WellData_p2.txt,SEN,24.79284,25.25465,24.49834,20.69813,23.50541,29.58813,21.35104,26.88963,29.3769,21.58433,20.8804,25.08609,27.46143,26.68289,21.29744,32.92352,30.2753,25.06386,27.88669,19.36962,23.28964,26.32929,18.02239,,27.37375,27.42934,31.60604,27.15672,,,28.65663,29.53444,25.94777,24.05807,26.98709,25.29531,23.89755,27.11475,23.27952,23.48986,29.8766,22.09825,20.72602,31.42046,28.86062,27.73086,22.97528,25.43912,26.75249,25.71261,27.70101,25.8336,24.59879,23.45408,20.58417,24.89269,26.52154,25.2431,29.03065,21.9481,24.57301,26.55321,23.84457,21.40547,22.29791,17.95536,21.2429,25.37122,24.45555,26.46731,18.48955
