,level_0,Sample,cell_id,replicate,treatment,time_point,Treatment Start Date,sub_experiment,Filename,cell_line,Assay,ACTA2,ADAMTS1,ATP6AP1,B2M,BGN,BHLHE40,CAV1,CDKN2A,CDKN2B,COL1A1,COL1A2,COL2A1,COL4A1,COL5A1,CTGF,DCN,EGR2,ELN,ENG,ETS1,FBLN1,FBN1,FGF2,FN1,FOSB,GADD45B,GUSB,HAS2,ID1,IL1A,IL1B,IL6,ITGA1,ITGA2,JUN,JUNB,LARP6,LOXL1,LOXL2,LTBP2,MMP1,MMP13,MMP14,MMP2,NOX4,PDGFA,PMEPA1,PPIA,PPP3CA,PSMD14,PTEN,RARA,RARG,RHOB,SERPINE1,SERPINE2,SKI,SKIL,SMAD3,SMAD7,SPARC,TGFB1,TGFBR1,TGFBR2,THBS1,THBS2,TIMP1,TIMP3,TP53BP1,VCAN,VEGFA,VIM
0,Norm2ref,Baseline_0_A_1,A,1,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p1.txt,HDFn,,0.120495300693,0.178117205511,0.0853437188587,2.15183698312,0.106411707245,0.00291307545789,1.00965246704,0.015178139689,0.00113123061676,1.96647083233,2.66548633824,,0.0314928642955,0.0747630267643,0.0165742659563,1.43272208546,0.000900384466313,0.000667413638102,0.0993049048914,0.0249081000179,1.87942166905,0.396960892103,0.0281611251669,9.00407945503,,0.0263058738857,0.0234774379352,0.00621215175056,0.021306372328,,,0.00428906468016,0.0124218924112,0.0694076641609,0.166631006719,0.024967389349,0.0701481461562,0.224282473001,0.048369411249,0.277426746322,0.14577839104,0.00176260972766,0.450768556244,0.830659308324,0.00808435722823,0.00623052214443,0.00607891173981,0.445914428723,0.0653829729415,0.0324467724513,0.0809715434239,0.0154423784762,0.0642054149988,0.0573397246815,0.247511727253,0.148900322906,0.0999180261653,0.0346019891884,0.0838403638244,0.00680126484549,0.796827193025,0.112431545952,0.0211309111623,0.132150041914,1.127188492,0.298426754695,1.54722047055,0.0753749415074,0.076340306425,0.148992208002,0.019693847305,15.0255801202
1,Norm2ref,Baseline_0_A_2,A,2,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p6.txt,HDFn,,0.0989129815407,0.137934350251,0.104222862243,1.97580926907,0.0958946198676,0.00397236439372,0.976812580259,0.0254799045941,0.000455880615419,1.50977512919,2.03842331763,,0.0338322675756,0.0155403594697,0.0124424438429,1.61051677286,0.000747195654857,0.000767191143244,0.0912218782614,0.0272147706067,1.55482659053,0.348295487306,0.0265065678101,8.17162888718,,0.0155179703601,0.0284596885873,0.0154211448736,0.0183935490483,,,0.0101033930296,0.0232110192413,0.043626353024,0.15394785657,0.0157221647814,0.0576895446319,0.178569016564,0.0316264116383,0.217822318164,0.135967493606,0.00474072586388,0.477520205828,0.816657857166,0.00985235061961,0.00383758304472,0.00724315360388,0.48978608288,0.0997101157418,0.0173458420261,0.0937143433946,0.0038533092377,0.076503718672,0.0915468265148,0.199157771963,0.112157164446,0.121119552553,0.0337451431933,0.125904668682,0.00731687681651,0.784504531585,0.109571438071,0.016272319098,0.136442375759,1.22143211705,0.219199085709,1.47099636942,0.0727672795488,0.101886420495,0.203921201771,0.0229969076159,13.53669542
2,Norm2ref,Baseline_0_A_3,A,3,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p7.txt,HDFn,,0.0834764042767,0.104511403232,0.0759699282213,1.96571241291,0.060761962127,0.00481947685454,0.898420198583,0.0128989037395,0.00022301096525,0.999440279798,1.08366757785,,0.0180396138634,0.00711171028401,0.020293369906,2.0709206392,,,0.0705056297197,0.0238652005183,1.11816436119,0.30411571385,0.018395315982,7.14588287909,,0.00729135301957,0.0228446835502,0.000880421665667,0.0088730281963,,,0.00291548631928,0.0189812954535,0.0422024998252,0.135312991789,0.0194044623231,0.0417014762948,0.119945610597,0.0195214262096,0.162456150378,0.139004381981,0.00386794304921,0.493380385942,0.74916856379,0.0064908461144,0.00128458873759,0.00210544699087,0.492365734592,0.0685976169235,0.024472109344,0.119561289599,0.0065835993998,0.069765726214,0.0778722039467,0.155284126671,0.120643514615,0.0915067684161,0.0292484152508,0.0705158933301,0.0037350215139,0.727451146085,0.0642732514937,0.0109339028203,0.1097918042,1.01617738916,0.196043031798,1.44610495977,0.0415981237474,0.126035518623,0.188180920679,0.0201701030972,9.9719957528
3,Norm2ref,Baseline_0_A_4,A,4,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p12.txt,HDFn,,0.108989018577,0.137762457179,0.102969907694,1.96643798018,0.123691192879,0.00823317544905,1.12896807147,0.025613082244,0.000868362283462,1.4120338613,1.94554545271,,0.0404842534956,0.0269213522041,0.0179576787407,1.46254872148,,0.000686132433894,0.0986856882701,0.0230425578925,1.63770406695,0.326755785511,0.0274358234182,8.24920269156,,0.0125676148684,0.0307370961665,0.00596912295007,0.014291931213,,,0.0034830205146,0.013365009614,0.0387761851259,0.130294192432,0.0178364793264,0.0395182996997,0.166537004607,0.032121758506,0.271219851953,0.142486257441,0.00303172515547,0.591108423846,1.14526756176,0.00916832998495,0.00430182539875,0.0033494610384,0.492373385247,0.0875775369309,0.0238363093376,0.118207598839,0.012374419734,0.0866350536166,0.0622149318704,0.22217750903,0.108668422945,0.0796150334185,0.0240102574903,0.103439182649,0.0104776913956,0.801361267145,0.0939257594073,0.0184887908305,0.117168339025,1.07777399747,0.227537255207,1.59609296645,0.12529186801,0.0604583193749,0.22001208638,0.0315178882558,13.2596858073
4,Norm2ref,Baseline_0_A_5,A,5,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p13.txt,HDFn,,0.138614635155,0.154602064816,0.131259294829,2.0768852279,0.0909023557416,0.00585547325272,0.9161346067,0.0256704339156,0.00251729758682,1.50145526648,2.31925506584,,0.0423601495432,0.0241807280427,0.0200536893989,1.46637235506,,0.00285257689608,0.118086953997,0.0368812533037,1.67615026715,0.321252924444,0.0271591378426,8.3203919584,,0.0222944974942,0.0238595640398,0.00433762633502,0.026070670411,,,0.00154371430437,0.0158474166758,0.0618849107082,0.15840738409,0.0152679639205,0.0683939011607,0.137144768227,0.0392593879759,0.319861995319,0.16011956346,0.00522309801581,0.650437117382,1.13352129345,0.0103402974178,0.00215868954844,0.00463116698634,0.463831110048,0.0782970353672,0.0163463403943,0.0838643510751,0.0103495474316,0.0912211072876,0.10107523708,0.223618506204,0.127468395306,0.112663452479,0.0297163656349,0.108827984682,0.00631234377323,0.721185098602,0.0859374924973,0.0215713681659,0.141465434293,1.14201491492,0.226942936791,2.27056524388,0.142519525721,0.114330441694,0.19354507375,0.0232702656826,16.3205920948
5,Norm2ref,Baseline_0_A_6,A,6,Baseline,0.0,20-06-2017,1,GSS2375_WellData_p18.txt,HDFn,,0.154590112607,0.145183555129,0.122554040485,2.01476273783,0.143206606474,0.00391421835478,1.18112360758,0.0297798429192,0.000779631473997,1.80275076516,2.63925354814,,0.0290930821303,0.0217274090172,0.0245202917388,2.895073457,,,0.105182015651,0.0311932990875,1.517061902,0.324790188055,0.0269487086817,8.04353652239,,0.0112951712501,0.0298546601125,0.00487186527845,0.0140143627435,,,0.0106116290113,0.0171661456463,0.0571172351096,0.140650828342,0.0239289342622,0.0564481439122,0.22777794293,0.0340724607479,0.252688156938,0.189968214808,0.00197856469465,0.902969995227,1.38906099837,0.0112558588648,0.00263253778589,0.00382437564928,0.479219976648,0.10135013772,0.0294420095276,0.0956454370791,0.00977166387672,0.0858980954567,0.0825046906891,0.220902240182,0.187132228989,0.0927537843037,0.0324771749493,0.0932559737664,0.00748475056923,1.03798813619,0.114257435104,0.0266921616136,0.162184736266,1.47886458389,0.241871041356,2.29310108627,0.0921846245578,0.102398036325,0.205581158719,0.0272216807141,16.8573978965
6,Norm2ref,Baseline_0_B_1,B,1,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p2.txt,HDFn,,0.070750635599,0.145438075438,0.0897749602231,2.14578706511,0.183113100997,0.00676397441899,0.990951887579,0.0195595490455,0.0030756070758,1.69763572168,1.86501459281,,0.0459139676791,0.0351875022311,0.0403238421479,1.60414762945,,0.00169431392434,0.0992118954067,0.0207281751131,1.71766288906,0.363149857459,0.0226548997792,9.89203208329,,0.012206698973,0.0300670454664,0.00761150216088,0.0107312126183,,,0.00830356693702,0.00845749959866,0.0162881540203,0.118655996677,0.0182972027556,0.0476703794352,0.19430122731,0.0359744619283,0.125365033709,0.163433645189,0.0041613487564,0.36862272506,0.781748753506,0.0050044142058,0.00267758282754,0.00554559094353,0.44723559453,0.0774214382497,0.0221819025096,0.0661019626903,0.00848397990398,0.0500608611535,0.0771669512771,0.19704908001,0.257309551844,0.0824599226921,0.0294180803654,0.0619993507855,0.00677467249018,0.61208203035,0.0857741609727,0.0173975373982,0.155604632758,1.16444049643,0.296710300902,2.69945266424,0.0790783686184,0.0542616571687,0.249188072331,0.0156861696493,11.7020300175
7,Norm2ref,Baseline_0_B_2,B,2,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p5.txt,HDFn,,0.0804674127888,0.14888687218,0.0964649369668,1.95920513154,0.151741589226,0.00643991989212,1.06215805102,0.0152901721245,0.00234052592035,1.38202954477,1.93062565822,,0.0329718456761,0.0150534550183,0.028346382775,1.83672858989,,0.0020843141556,0.0910863358812,0.0338699216029,1.6194326366,0.279449298344,0.0279355969156,8.76563409627,,0.0106669272422,0.0262428543819,0.00507452484867,0.0076727978324,,,0.00583601156578,0.00897805380568,0.0319231861062,0.139336820926,0.0185969321664,0.0502308833961,0.228868125515,0.025101866584,0.0965820206626,0.154877390755,0.0055151600077,0.425260410114,0.893722256625,0.00679626799227,0.00246217403887,0.0039728456455,0.493878632595,0.0885200734054,0.0189598118493,0.0908605883614,0.00687715919677,0.0647012976625,0.0800185589499,0.183867507368,0.211775625789,0.0971379235699,0.0328564052681,0.0687707294109,0.00433903054563,0.713971532698,0.0667401369768,0.0158602404966,0.171130457688,1.18918111513,0.250878102453,2.70710051822,0.0905543940167,0.0685128522725,0.225012718926,0.0136567542793,11.2038949597
8,Norm2ref,Baseline_0_B_3,B,3,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p8.txt,HDFn,,0.0847754081946,0.10092948736,0.070168125679,2.03005615583,0.171702105554,0.00402451217769,0.950375556653,0.0133145698989,0.00125872569461,1.11958932479,1.4271625231,,0.0280302735894,0.00802952096782,0.0492081004427,2.31356821346,,0.00028350260972,0.0924001904894,0.0187259099558,1.83301632676,0.331570977066,0.0194020060473,8.0914577238,,0.0112429125679,0.0164770255119,0.00334733726946,0.00811827899392,,,0.00847735334123,0.0133989117043,0.0203030409248,0.125327909861,0.0109219149371,0.0434734872204,0.156013160297,0.0275949797313,0.109942388772,0.167688962379,0.00675677081508,0.506709097362,0.85604564898,0.00329937765253,0.00102892934698,0.00337473430131,0.475296484531,0.0743043063721,0.0201308184134,0.0658651730602,0.00332677413555,0.0622677791958,0.0735816397022,0.160325925016,0.245584197458,0.0648652513445,0.03726718442,0.0531012501282,0.00337798733888,0.721099194768,0.0471662801872,0.0152999382033,0.139103404623,1.22271624392,0.260782621337,2.5836302842,0.0571425661418,0.0874159067714,0.230058016842,0.00951190245825,10.0452365741
9,Norm2ref,Baseline_0_B_4,B,4,Baseline,0.0,20-06-2017,2,GSS2375_WellData_p11.txt,HDFn,,0.0522737110284,0.116798155269,0.0749851847924,2.06159278506,0.17122430308,0.00451127013725,1.0473251398,0.020565919601,0.000612636690959,1.29081244589,1.70719681925,,0.0213865768629,0.010641234899,0.0138457728318,1.21587034409,,0.000601340352546,0.0714480968538,0.0131797735536,1.25791931932,0.261006817088,0.0125539866782,6.19789963645,,0.00958549993424,0.0188736778454,0.00125083689404,0.00628744414199,,,0.00250137902066,0.00635267264243,0.0234502870586,0.117795749974,0.0140998086433,0.0291239408269,0.15175220593,0.0172178569106,0.0946141251734,0.146117349396,0.0026522443162,0.38163076763,0.570429063064,0.00446993445941,0.00277757078413,0.00135317054417,0.467335129436,0.0730779205901,0.0173566146591,0.052582239312,0.00525235226419,0.0634423223608,0.0536848711969,0.138032451786,0.1679180698,0.0648306295749,0.0245709831194,0.0613496699768,0.00154962988063,0.62751828084,0.041063755712,0.010699219694,0.0854058908674,0.809105308746,0.207098555117,2.11302435099,0.0470480713367,0.0590192498191,0.261189606365,0.0122609059532,9.60755542005
