cell_line,treatment,replicate,Assay,time,Ct,Norm2ref
A,Control,1,CDKN2B,8.0,30.70243,0.00236589935876
A,Control,1,CDKN2B,12.0,30.35554,0.00251678057522
A,Control,1,CDKN2B,24.0,30.44393,0.0021329548414
A,Control,1,CDKN2B,48.0,28.86819,0.00598967944308
A,Control,1,CDKN2B,96.0,29.4908,0.00516425399785
A,Control,1,COL1A1,0.5,20.36316,2.43687084555
A,Control,1,COL1A1,1.0,20.45913,1.84241996315
A,Control,1,COL1A1,2.0,20.59319,1.96382419048
A,Control,1,COL1A1,3.0,20.63812,2.32644873568
A,Control,1,COL1A1,4.0,20.74372,1.91113062429
A,Control,1,COL1A1,8.0,20.85601,2.17803089802
A,Control,1,COL1A1,12.0,20.65942,2.08770107537
A,Control,1,COL1A1,24.0,20.22584,2.54058218914
A,Control,1,COL1A1,48.0,19.55144,3.81966075411
A,Control,1,COL1A1,72.0,19.52464,5.68090729043
A,Control,1,COL1A1,96.0,19.25896,6.21009644856
A,Control,1,COL1A2,0.5,20.19413,2.73977950315
A,Control,1,COL1A2,1.0,20.01189,2.51200954888
A,Control,1,COL1A2,2.0,20.13966,2.68923490353
A,Control,1,COL1A2,3.0,20.23972,3.06636491677
A,Control,1,COL1A2,4.0,20.04527,3.10130709161
A,Control,1,COL1A2,8.0,20.1941,3.44602799199
A,Control,1,COL1A2,12.0,20.04167,3.20353589647
A,Control,1,COL1A2,24.0,19.87863,3.23186993076
A,Control,1,COL1A2,48.0,19.33477,4.43863017839
A,Control,1,COL1A2,72.0,19.59627,5.40573713321
A,Control,1,COL1A2,96.0,19.71219,4.53589006649
A,Control,1,COL4A1,0.5,26.14353,0.0443371482594
A,Control,1,COL4A1,1.0,26.08697,0.0372597537136
A,Control,1,COL4A1,2.0,26.14946,0.0417348321684
A,Control,1,COL4A1,3.0,26.1592,0.050662054602
A,Control,1,COL4A1,4.0,25.93281,0.052386409271
A,Control,1,COL4A1,8.0,26.30227,0.0499547065666
A,Control,1,COL4A1,12.0,26.29248,0.0420676534466
A,Control,1,COL4A1,24.0,26.25056,0.0390222056762
A,Control,1,COL4A1,48.0,25.76382,0.0515124336313
A,Control,1,COL4A1,72.0,25.64857,0.0814575006437
A,Control,1,COL4A1,96.0,25.26657,0.0965222713176
A,Control,1,COL5A1,0.5,25.12885,0.0895811992341
A,Control,1,COL5A1,1.0,25.54973,0.0540711161839
A,Control,1,COL5A1,2.0,25.24195,0.0782864144659
A,Control,1,COL5A1,3.0,25.29882,0.091977793384
A,Control,1,COL5A1,4.0,25.38921,0.0763587019768
A,Control,1,COL5A1,8.0,25.24582,0.103896173123
A,Control,1,COL5A1,12.0,25.55048,0.0703578474952
A,Control,1,COL5A1,24.0,24.96396,0.095195628623
